unemployment,cpi,gdp,dff,consumer
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
4.2,28.19,479.49,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.88,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.94,
,,,2.88,
4.1,28.28,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.25,
,,,3.38,
,,,3.0,
,,,3.25,
,,,3.38,
,,,3.38,
,,,3.38,
,,,3.25,
,,,3.38,
,,,3.0,
,,,3.38,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
4.4,28.32,,3.5,
,,,3.5,
,,,3.5,
,,,2.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
4.5,28.32,474.864,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
5.1,28.41,,3.5,83.7
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.25,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
5.2,28.47,,3.0,
,,,3.0,
,,,2.5,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
5.8,28.64,467.54,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.88,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.88,
,,,2.25,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,3.0,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.5,
,,,1.75,
,,,0.75,
,,,1.75,
,,,1.5,
6.4,28.7,,1.5,78.5
,,,1.5,
,,,1.75,
,,,1.25,
,,,1.25,
,,,2.25,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.63,
,,,2.63,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.75,
,,,2.25,
,,,1.0,
,,,0.5,
,,,1.0,
,,,0.75,
,,,0.75,
,,,0.75,
,,,1.0,
,,,0.5,
,,,0.38,
,,,0.75,
,,,0.5,
6.7,28.87,,0.5,
,,,0.5,
,,,1.0,
,,,2.0,
,,,2.5,
,,,2.0,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.25,
,,,1.63,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.25,
,,,1.5,
,,,1.25,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.0,
,,,0.25,
,,,0.25,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.5,
7.4,28.94,471.978,0.25,
,,,0.13,
,,,0.75,
,,,0.75,
,,,0.75,
,,,0.75,
,,,1.0,
,,,1.5,
,,,2.0,
,,,2.13,
,,,1.5,
,,,1.5,
,,,1.5,
,,,1.75,
,,,1.75,
